"","Point est.","Upper C.I."
"mu_CLfeces",1.01468916590282,1.02494912627961
"mu_CLurine",1.01630688789037,1.01852475117651
"mu_brain",1.01706328114887,1.0184100911675
"mu_heart",1.00711401903362,1.00899516746023
"mu_kidney",1.10532912857842,1.107884852555
"mu_largeIn",1.01466349408708,1.01517327575437
"mu_liver",1.00822517682787,1.01100556208019
"mu_lung",1.01095062615753,1.01275719658798
"mu_rob",1.01655244832712,1.03213162479877
"mu_smallIn",1.00316622590117,1.00365927658407
"mu_spleen",0.999860829429539,1.00300398110001
"mu_stomach",1.02910180953055,1.03240639698684
"sigma_CLfeces",0.999689167464732,1.00286082180362
"sigma_CLurine",1.00004043602268,1.00339134682832
"sigma_brain",1.00405602039416,1.01428992456078
"sigma_heart",0.999010589371602,1.00061923138777
"sigma_kidney",0.998775255673549,0.999812609329985
"sigma_largeIn",1.00315621212287,1.01339187529746
"sigma_liver",1.00948783428775,1.03105210313492
"sigma_lung",1.00010657734026,1.00315642970708
"sigma_obs",1.00015214242739,1.00416747257242
"sigma_rob",1.00192410101711,1.00980530107856
"sigma_smallIn",1.00007198394864,1.00406786013494
"sigma_spleen",0.999807813311022,1.00290337457588
"sigma_stomach",1.00104166015684,1.00701022916413
