"","Mean","SD","2.5%","97.5%"
"mu_CLfeces",0.0308863416881243,0.0395040322197266,0.00263814474788237,0.139660627875659
"mu_CLurine",0.0295085655648985,0.0355311346397603,0.00287903800260138,0.115680912953357
"mu_brain",1.60922467952916,2.09346109506794,0.12538910407938,7.36216205769783
"mu_heart",1.65735277747806,3.38500009662335,0.142137290301561,6.6414662654755
"mu_kidney",1.68157208495832,2.55520011554515,0.140640522380047,7.17954721582465
"mu_largeIn",1.66123338544963,2.09692004622727,0.131596943028277,7.4427994850661
"mu_liver",1.62810703222203,2.10799440133316,0.138379409824817,7.05417149561168
"mu_lung",1.64245264092528,2.0376114099517,0.129994685211337,6.82336091893729
"mu_rob",1.58219866964759,2.00509915164669,0.147530285881933,6.85807680466927
"mu_smallIn",1.57521128612014,1.90061640259631,0.140913520148583,6.64313757687513
"mu_spleen",1.59210870799732,1.97155055143082,0.146556648508092,7.075094344585
"mu_stomach",1.68683217097673,2.23972858585304,0.14094289248371,7.38577236854654
"sigma_CLfeces",1.00403615597417,0.564285403364827,0.107382503252011,1.93957361152483
"sigma_CLurine",1.03273150691277,0.56917417565653,0.0918201690568821,1.94496407946455
"sigma_brain",1.04761798289461,0.558752566617192,0.100254014875391,1.94815547813516
"sigma_heart",1.03196076924103,0.565289813356097,0.103614090375195,1.94913825291791
"sigma_kidney",1.01692032986862,0.561457559487686,0.100127346031077,1.95239440077596
"sigma_largeIn",1.00369878036755,0.552028011799248,0.112943988560874,1.94327794624405
"sigma_liver",1.0376098651137,0.555051604142121,0.102495846415113,1.94832174767216
"sigma_lung",1.03713642155011,0.550782710699137,0.104641166498768,1.95251376554341
"sigma_obs",1.04334236040436,0.555859233935676,0.137830683995271,1.95364458792552
"sigma_rob",1.02223975706985,0.576222662235836,0.0954346187156625,1.95850368048763
"sigma_smallIn",1.02546386728221,0.564410183402414,0.0903693320511957,1.94252156291855
"sigma_spleen",1.02240209642933,0.567616233805841,0.100604945188679,1.9459424253754
"sigma_stomach",1.00741578591777,0.55188882218218,0.0985495319470647,1.95677607149555
