Compound,Abbreviation,Dose (μg), Molecular Weight (g/mol)
Perfluorobutanoic acid (13C4),MPFBA,4.01,214.039
Perfluoropentanoic acid (13C5),MPFPeA,3.95,264.05
Perfluorohexanoic acid (13C2),MPFHxA,3.99,314.054
Perfluoroheptanoic acid (13C7),MPFHpA,3.8,364.06
Perfluorooctanoic acid (13C4),MPFOA,3.96,414.07
Perfluorononanoic acid (13C5),MPFNA,4.02,464.08
Perfluorodecanoic acid (13C9),MPFDA,4.01,514.09
Perfluoroundecanoic acid (13C2),MPFUdA,3.99,567.07
Perfluorododecanoic acid (13C2),MPFDoA,3.75,618.07
Perfluorobutane sulfonate (unlabeled),PFBS,18.42,300.1
Perfluorohexane sulfonate (18O2),MPFHxS,3.76,403.11
Perfluorooctane sulfonate (13C4),MPFOS,3.78,500.13
6:2 fluorotelomer sulfonate (unlabeled),6:2FTS,3.87,428.16
Hexafluoropropylene oxide dimer acid (unlabeled),HFPO-DA,19.51,330.0489
DONA (unlabeled),DONA,3.71,378.07
