Urine ,time ,time interval (h),urine volume , PFBA ,PFPeA ,PFHxA ,PFHpA ,PFOA  ,PFNA ,PFDA ,PFUdA ,PFDoA ,PFBS ,PFHxS ,PFOS ,6:2FTS ,HFPO-DA ,DONA 
urine 1,6,6,0.215,0.397,3.479,1.4249,0.0139,0.0007,0.0007, , , ,0.147, , ,0.366,2.576,0.124
urine 2,12,6,0.28,0.441,2.761,1.3558,0.0148,0,0.0008, , , ,0.137, , ,0.451,2.519,0.132
urine 3,18,6,0.386,0.239,1.139,0.7111,0.0092,0.0001,0.0011, , , ,0.089, , ,0.311,1.331,0.088
urine 4,24,6,0.439,0.219,0.809,0.5647,0.0074,0.0003,0.0006, , , ,0.077, , ,0.297,1.224,0.062
urine 5,30,6,0.26,0.384,0.872,0.7753,0.0113,0.0014,0.0004, , , ,0.124, , ,0.394,1.808,0.097
urine 6,36,6,0.251,0.433,0.794,0.77,0.0082,0.0005,0.0001, , , ,0.145, , ,0.349,2.087,0.071
urine 7,42,6,0.371,0.258,0.339,0.4613,0.0063,0.0002,0.0001, , , ,0.095, , ,0.244,1.19,0.059
urine 8,48,6,0.5,0.226,0.242,0.3689,0.0061,0,0.001, , , ,0.082, , ,0.24,0.968,0.054
urine 9,54,6,0.33,0.254,0.197,0.4293,0.0111,0.0008,0.0002, , , ,0.13, , ,0.313,1.211,0.089
urine 10,60,6,0.297,0.31,0.221,0.5379,0.0138,0,0, , , ,0.196, , ,0.38,1.598,0.103
urine 11,66,6,0.225,0.291,0.17,0.4734,0.012,0.0006,0.0005, , , ,0.191, , ,0.369,1.474,0.077
urine 12,72,6,0.354,0.284,0.104,0.3656,0.0115,0.0005,0, , , ,0.152, , ,0.319,1.241,0.083
urine 13,78,6,0.777,0.116,0.026,0.1205,0.0048,0,0, , , ,0.05, , ,0.105,0.42,0.048
urine 14,84,6,0.578,0.13,0.03,0.1332,0.0053,0,0.0009, , , ,0.069, , ,0.123,0.545,0.045
urine 15,90,6,0.388,0.181, ,0.152,0.0051,0,0.0011, , , ,0.071, , ,0.138,0.68,0.041
urine 16,96,6,0.504,0.122, ,0.1157,0.0045,0.0002,0, , , ,0.063, , ,0.113,0.478,0.043
urine 17,102,6,0.177,0.296,0.041,0.2155,0.0072,0,0, , , ,0.159, , ,0.184,1.113,0.049
urine 18,108,6,0.269,0.21, ,0.1732,0.0074,0.0005,0.0004, , , ,0.127, , ,0.197,0.887,0.06
urine 19,120,12,0.668,0.201, ,0.139,0.0111,0.0003,0.0005, , , ,0.122, , ,0.191,0.725,0.087
urine 20,132,12,0.771,0.17, ,0.0898,0.0074,0,0, , , ,0.107, , ,0.134,0.523,0.047
urine 21,144,12,1.028,0.096, ,0.051,0.0071,0,0.0007, , , ,0.072, , ,0.137,0.352,0.047
urine 22,576,12,1.149, , , ,0.0068,0,0.0001, , , ,0.054, , ,0.009, ,0.021
urine 23,588,12,0.865, , , ,0.0104,0.0006,0.0004, , , ,0.088, , ,0.007, ,0.032
urine 24,864,12,0.674, , , ,0.0075,0.0004,0.0001, , , ,0.068, , ,0, ,0.019
urine 25,876,12,1.448, , , ,0.0049,0,0, , , ,0.035, , ,0, ,0.014
urine 26,2400,12,0.369, , , ,0.0063,0,0.0011, , , ,0.046, , ,0.003, ,0.005
urine 27,2412,12,0.468, , , ,0.006,0.0006,0.0007, , , ,0.048, , ,0.004, ,0.006
