"time","value"
0,4.082
24,4.24032142857143
48,4.39864285714286
72,4.55696428571429
96,4.71528571428571
120,4.87360714285714
144,5.03192857142857
168,5.19025
192,5.34857142857143
216,5.50689285714286
240,5.66521428571429
264,5.82353571428571
288,5.98185714285714
312,6.14017857142857
336,6.2985
360,6.45682142857143
384,6.61514285714286
408,6.77346428571429
432,6.93178571428572
456,7.09010714285714
480,7.24842857142857
504,7.40675
528,7.56507142857143
552,7.72339285714286
576,7.88171428571428
600,8.04003571428571
624,8.19835714285714
648,8.35667857142857
