"Substance","Time","Cumulative_added_PFAS","Feeding_period","Depuration_period","Liver","Blood","Skin","Muscle","Gills","Kidney","Carcass"
"PFBS",0,0,0,0,0,0,0,0,0,0,0
"PFBS",168,31.89875,168,0,91.2145019720841,60.7776733449452,15.195500382957,12.1369998451192,14.0304543111069,3.83604658317107,5.43798493196819
"PFBS",336,71.55525,336,0,98.1075214977226,73.2049163111084,12.476380617361,20.9229646382894,12.476380617361,6.65140485732991,3.59341351794391
"PFBS",672,174.1415,672,0,110.292895196349,31.7979161053115,13.0112935974671,7.33194859641408,11.8462475256149,3.25403274570632,5.58437948863887
"PFBS",744,174.1415,0,72,30.7993779292191,23.9549868563117,4.73096287306636,4.87684823127672,4.14894903559948,4.87684823127672,2.11037300908554
"PFBS",840,174.1415,0,168,15.9730464282903,6.94419397066703,2.42938584301017,1.55636508680879,3.44905575511025,3.74006267384475,1.26383057269971
"PFBS",1008,174.1415,0,336,4.80861563791037,2.76927581370808,0.876075946948422,0.584559829757849,1.45910818133592,1.16784666336915,0.584814428985887
"PFBS",1344,174.1415,0,672,6.50806549140628,1.84788120399937,0.973332852423411,1.41098892705663,1.55687428526487,1.41047972859843,1.26510356884626
"PFHxS",0,0,0,0,0,0,0,0,0,0,0
"PFHxS",168,31.89875,168,0,469.107551487414,241.800152555302,132.723112128147,15.2555301296723,58.7337909992375,35.0877192982459,16.0183066361559
"PFHxS",336,71.55525,336,0,690.312738367658,281.464530892449,102.974828375286,27.4599542334099,54.9199084668195,67.1243325705572,12.2044241037379
"PFHxS",672,174.1415,672,0,933.638443935927,633.104500381388,209.76353928299,33.5621662852787,77.8032036613275,52.6315789473687,28.9855072463772
"PFHxS",744,174.1415,0,72,720.061022120519,350.114416475973,118.993135011442,25.1716247139591,57.2082379862703,187.643020594966,19.0694126620903
"PFHxS",840,174.1415,0,168,614.035087719298,234.172387490466,99.923722349352,19.8321891685739,67.8871090770407,289.092295957285,13.7299771167051
"PFHxS",1008,174.1415,0,336,265.446224256293,143.401983218917,76.2776506483603,6.10221205186915,21.3577421815411,14.4927536231887,4.57665903890195
"PFHxS",1344,174.1415,0,672,127.383676582762,40.4271548436311,15.2555301296723,1.52555301296755,16.0183066361559,3.05110602593475,5.33943554538555
"PFOS",0,0,0,0,0,0,0,0,0,0,0
"PFOS",168,31.89875,168,0,173.413408413583,110.336527400538,35.3367441320734,28.0287232644892,35.3365774155044,60.7211758719775,14.1825786518726
"PFOS",336,71.55525,336,0,305.288716422454,145.673604965761,52.981692519959,28.7502725815956,41.8270202213786,106.827477024792,19.9039579180736
"PFOS",672,174.1415,672,0,463.26883847232,237.884706822246,94.8080458750729,52.1152665030968,59.0381720928417,159.807835812199,38.2689551739112
"PFOS",744,174.1415,0,72,377.864274039356,200.941148383751,71.326016921062,26.325880213475,50.5564665689935,132.095373881927,26.325713496906
"PFOS",840,174.1415,0,168,337.836792479894,136.682580319041,74.3754297119673,19.3752996730417,54.7600581774224,102.452500781913,30.1445232606336
"PFOS",1008,174.1415,0,336,193.942220037861,90.4807505713297,31.634469251126,12.0192644331501,30.4807905833094,55.4807739116502,13.173443250685
"PFOS",1344,174.1415,0,672,186.923285703524,41.9230489659822,17.3078474823426,4.23093312597932,21.1541654802008,30.0006468603029,6.92307230630272
"PFOA",0,0,0,0,0,0,0,0,0,0,0
"PFOA",168,31.89875,168,0,81.1026481728436,69.1679378837783,21.3169054334366,5.61823784660984,27.4469519433314,59.920502855741,9.27513312807204
"PFOA",336,71.55525,336,0,98.1188873330808,72.6351431468192,23.4942372231003,6.61322447717921,23.2791805945422,65.4284146001894,9.83860760758523
"PFOA",672,174.1415,672,0,121.292404805267,87.7435707500591,30.5371086594197,8.38767481178248,24.6249165659694,80.5382410973725,13.3339772686382
"PFOA",744,174.1415,0,72,65.1115184927125,49.3053225916028,14.7878011119203,3.81991305540914,14.2510921364839,49.5194466242013,5.21871373700466
"PFOA",840,174.1415,0,168,41.4247002037053,18.8437542050072,8.52056973619432,2.498984136542,8.19798479335488,26.1547469800546,4.00438053645469
"PFOA",1008,174.1415,0,336,14.6773817501627,3.49490336307402,1.66598942436081,0.055862498051557,1.88291124484104,5.21535639154633,0.807161804065496
"PFOA",1344,174.1415,0,672,14.4092604114348,1.50539639991269,1.07481684481446,0.429646959137146,1.39786808563131,1.82798134275056,1.39833438361342
"PFNA",0,0,0,0,0,0,0,0,0,0,0
"PFNA",168,31.89875,168,0,126.573793280849,149.713860264457,42.3074221204253,12.2614141754039,52.6687081661677,90.310776248024,20.2052053290037
"PFNA",336,71.55525,336,0,210.66874774288,221.719559313138,66.3097670414882,19.3407012006428,61.8195400194807,145.049841940435,28.319967942847
"PFNA",672,174.1415,672,0,387.835548805525,301.496445515216,114.659219645872,27.284640766979,87.0307065929732,240.368954036549,57.6760051251837
"PFNA",744,174.1415,0,72,314.694789229203,295.356017393973,77.4349333874213,19.0708868649855,69.1463794715436,198.654440756111,34.9560945685834
"PFNA",840,174.1415,0,168,237.780042446034,190.466807493856,82.3696565234585,20.5508585676196,82.0248937612208,184.941104883265,45.0711639020492
"PFNA",1008,174.1415,0,336,131.927782367576,111.897110404228,35.5727494446876,10.3629185857224,32.1197789639807,80.4708641083443,15.5432647831308
"PFNA",1344,174.1415,0,672,86.6868343070936,48.6970352084524,18.3062645011531,6.56355280277776,16.9248388485202,45.9341839031464,10.018304236201
