Time (d),measured 13C4-PFOA (ng/L),measured PFOA (ng/L),Correction factor,corrected 13C4-PFOA (ng/L),corrected PFOA (ng/L),modelled 13C4-PFOA (ng/L)
0.0,0.0,1444,0.988,0.2,1427,0.0
0.25,3.0,1556,0.917,2.7,1427,6.4
0.5,7.5,1403,1.017,7.7,1426,12.5
0.75,12.2,1285,1.11,13.6,1426,18.3
1.0,17.5,1369,1.041,18.2,1426,23.8
1.25,23.6,1425,1.001,23.6,1426,28.9
1.5,28.3,1414,1.008,28.5,1425,33.9
1.75,30.1,1273,1.12,33.7,1426,38.5
2.0,37.2,1395,1.021,38.0,1425,42.9
2.5,45.1,1418,1.004,45.1,1424,45.1
3.0,56.2,1494,0.953,53.6,1424,58.4
3.5,58.5,1347,1.056,61.8,1423,65.0
4.0,71.5,1514,0.939,67.2,1423,71.0
4.5,76.9,1471,0.967,74.4,1422,76.3
5.0,85.0,1553,0.915,78.3,1421,81.1
6.0,84.7,1416,1.003,85.0,1420,89.2
7.0,93.8,1428,0.994,93.2,1419,95.8
8.0,106.7,1485,0.955,101.9,1418,101.0
10.0,117.8,1515,0.935,110.1,1416,108.7
12.0,117.8,1422,0.994,117.1,1414,113.6
14.0,111.2,1355,1.042,115.8,1412,116.8
16.0,119.1,1420,0.993,118.3,1410,118.8
18.0,123.3,1427,0.986,121.7,1407,120.0
22.0,132.1,1446,0.97,128.1,1403,121.0
26.0,119.4,1365,1.025,122.4,1399,121.2
30.0,118.0,1341,1.004,124.0,1394,121.0
34.0,127.5,1468,0.947,120.7,1390,120.6
38.0,121.8,1386,1.0,121.8,1386,120.2
45.0,115.7,1346,1.024,118.5,1379,119.8
52.0,119.7,1395,0.983,117.6,1371,118.5
59.0,115.8,1354,1.008,116.7,1364,117.5
66.0,106.4,1180,1.149,122.3,1357,116.8
73.0,120.6,1416,0.953,114.9,1350,115.9
80.0,110.0,1267,1.06,116.6,1342,115.1
87.0,115.7,1356,0.985,114.0,1335,114.3
101.0,114.2,1328,0.995,113.6,1321,112.6
115.0,119.7,1405,0.93,111.3,1307,111.0
